model_id,model_name,author,downloads,likes,tags,pipeline_tag,gated,hf_url,inference_api
Qwen/Qwen3-0.6B,Qwen3-0.6B,Qwen,18410672,1265,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-0.6B,https://api-inference.huggingface.co/models/Qwen/Qwen3-0.6B/v1
openai-community/gpt2,gpt2,openai-community,17386984,3256,"transformers,pytorch,tf,jax,tflite,rust,onnx,safetensors,gpt2,text-generation,exbert,en,doi:10.57967/hf/0039,license:mit,text-generation-inference,endpoints_compatible,region:us,deploy:azure",,False,https://huggingface.co/openai-community/gpt2,https://api-inference.huggingface.co/models/openai-community/gpt2/v1
Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen,14521153,704,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-1.5B,base_model:finetune:Qwen/Qwen2.5-1.5B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-1.5B-Instruct/v1
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen,13167875,1294,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B,base_model:finetune:Qwen/Qwen2.5-7B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-7B-Instruct/v1
Qwen/Qwen3-8B,Qwen3-8B,Qwen,12175108,1096,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B-Base,base_model:finetune:Qwen/Qwen3-8B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-8B,https://api-inference.huggingface.co/models/Qwen/Qwen3-8B/v1
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,meta-llama,10669321,5886,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,base_model:meta-llama/Llama-3.1-8B,base_model:finetune:meta-llama/Llama-3.1-8B,license:llama3.1,eval-results,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,https://api-inference.huggingface.co/models/meta-llama/Llama-3.1-8B-Instruct/v1
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen,10556636,463,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-3B,base_model:finetune:Qwen/Qwen2.5-3B,license:other,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-3B-Instruct/v1
Qwen/Qwen3-4B,Qwen3-4B,Qwen,10063743,615,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-4B-Base,base_model:finetune:Qwen/Qwen3-4B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-4B,https://api-inference.huggingface.co/models/Qwen/Qwen3-4B/v1
facebook/opt-125m,opt-125m,facebook,9987321,254,"transformers,pytorch,tf,jax,opt,text-generation,en,arxiv:2205.01068,arxiv:2005.14165,license:other,text-generation-inference,region:us,deploy:azure",,False,https://huggingface.co/facebook/opt-125m,https://api-inference.huggingface.co/models/facebook/opt-125m/v1
meta-llama/Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct,meta-llama,8119515,1425,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,https://api-inference.huggingface.co/models/meta-llama/Llama-3.2-1B-Instruct/v1
openai/gpt-oss-20b,gpt-oss-20b,openai,8007529,4633,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",,False,https://huggingface.co/openai/gpt-oss-20b,https://api-inference.huggingface.co/models/openai/gpt-oss-20b/v1
Qwen/Qwen3-32B,Qwen3-32B,Qwen,7083893,693,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-32B,https://api-inference.huggingface.co/models/Qwen/Qwen3-32B/v1
Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,Qwen,6396637,853,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2505.09388,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen3-4B-Instruct-2507,https://api-inference.huggingface.co/models/Qwen/Qwen3-4B-Instruct-2507/v1
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,5558362,6,"transformers,safetensors,qwen2,text-generation,trl,conversational,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,https://api-inference.huggingface.co/models/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5/v1
openai/gpt-oss-120b,gpt-oss-120b,openai,5049460,4793,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us",,False,https://huggingface.co/openai/gpt-oss-120b,https://api-inference.huggingface.co/models/openai/gpt-oss-120b/v1
Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen,4798038,518,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-0.5B,base_model:finetune:Qwen/Qwen2.5-0.5B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2.5-0.5B-Instruct/v1
dphn/dolphin-2.9.1-yi-1.5-34b,dolphin-2.9.1-yi-1.5-34b,dphn,4725382,63,"transformers,safetensors,llama,text-generation,generated_from_trainer,axolotl,conversational,dataset:cognitivecomputations/Dolphin-2.9,dataset:teknium/OpenHermes-2.5,dataset:m-a-p/CodeFeedback-Filtered-Instruction,dataset:cognitivecomputations/dolphin-coder,dataset:cognitivecomputations/samantha-data,dataset:microsoft/orca-math-word-problems-200k,dataset:Locutusque/function-calling-chatml,dataset:internlm/Agent-FLAN,base_model:01-ai/Yi-1.5-34B,base_model:finetune:01-ai/Yi-1.5-34B,license:apache-2.0,text-generation-inference,endpoints_compatible,region:us",,False,https://huggingface.co/dphn/dolphin-2.9.1-yi-1.5-34b,https://api-inference.huggingface.co/models/dphn/dolphin-2.9.1-yi-1.5-34b/v1
Qwen/Qwen2-1.5B-Instruct,Qwen2-1.5B-Instruct,Qwen,4559521,162,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us",,False,https://huggingface.co/Qwen/Qwen2-1.5B-Instruct,https://api-inference.huggingface.co/models/Qwen/Qwen2-1.5B-Instruct/v1
deepseek-ai/DeepSeek-V4-Pro,DeepSeek-V4-Pro,deepseek-ai,4510828,4190,"transformers,safetensors,deepseek_v4,text-generation,conversational,license:mit,eval-results,endpoints_compatible,8-bit,fp8,region:us",,False,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,https://api-inference.huggingface.co/models/deepseek-ai/DeepSeek-V4-Pro/v1
